AA, AA, 1.0
AA, AS, 0.0963
AA, B6, 0.26352
AA, CO, 0.15756
AA, DH, 0.13305
AA, DL, 0.16663
AA, EV, 0.27524
AA, F9, 0.18423
AA, FL, 0.19008
AA, HA, 0.01284
AA, HP, 0.25702
AA, MQ, 0.83767
AA, NK, 0.58039
AA, NW, 0.11876
AA, OH, 0.06661
AA, OO, 0.24406
AA, TZ, 0.50306
AA, UA, 0.42708
AA, US, 0.37334
AA, VX, 0.23736
AA, WN, 0.34406
AA, XE, 0.08515
AS, AA, 0.0963
AS, AS, 1.0
AS, B6, 0.05839
AS, CO, 0.06925
AS, DH, 0.01939
AS, DL, 0.06245
AS, EV, -0.01316
AS, F9, 0.10183
AS, FL, -0.00408
AS, HA, 0.05036
AS, HP, 0.1412
AS, MQ, 0.02496
AS, NK, 0.06806
AS, NW, 0.04503
AS, OH, -0.01852
AS, OO, 0.20232
AS, TZ, 0.04946
AS, UA, 0.20166
AS, US, 0.01433
AS, VX, 0.22706
AS, WN, 0.19209
AS, XE, -0.01485
B6, AA, 0.26352
B6, AS, 0.05839
B6, B6, 1.0
B6, CO, 0.12632
B6, DH, 0.18815
B6, DL, 0.20689
B6, EV, 0.04888
B6, F9, 0.07101
B6, FL, 0.15168
B6, HA, -0.00838
B6, HP, 0.09547
B6, MQ, 0.18921
B6, NK, 0.3317
B6, NW, 0.07196
B6, OH, 0.23687
B6, OO, 0.0274
B6, TZ, 0.25821
B6, UA, 0.21993
B6, US, 0.266
B6, VX, 0.29729
B6, WN, 0.16523
B6, XE, 0.03391
CO, AA, 0.15756
CO, AS, 0.06925
CO, B6, 0.12632
CO, CO, 1.0
CO, DH, 0.06376
CO, DL, 0.09876
CO, EV, 0.40452
CO, F9, 0.11648
CO, FL, 0.10346
CO, HA, 0.0038
CO, HP, 0.11097
CO, MQ, 0.09621
CO, NK, 0.32001
CO, NW, 0.07117
CO, OH, 0.01838
CO, OO, 0.14285
CO, TZ, 0.13552
CO, UA, 0.41064
CO, US, 0.08685
CO, VX, 0.14141
CO, WN, 0.34558
CO, XE, 0.94293
DH, AA, 0.13305
DH, AS, 0.01939
DH, B6, 0.18815
DH, CO, 0.06376
DH, DH, 1.0
DH, DL, 0.09106
DH, EV, 0.06179
DH, F9, 0.0693
DH, FL, 0.07816
DH, HA, -0.01097
DH, HP, 0.03178
DH, MQ, 0.07413
DH, NK, 0.0223
DH, NW, 0.07691
DH, OH, 0.0872
DH, OO, 9.2E-4
DH, TZ, 0.11314
DH, UA, 0.24196
DH, US, 0.36821
DH, VX, 0.14462
DH, WN, 0.05814
DH, XE, 0.08203
DL, AA, 0.16663
DL, AS, 0.06245
DL, B6, 0.20689
DL, CO, 0.09876
DL, DH, 0.09106
DL, DL, 1.0
DL, EV, 0.86053
DL, F9, 0.17078
DL, FL, 0.92653
DL, HA, 0.00108
DL, HP, 0.08587
DL, MQ, 0.09368
DL, NK, 0.32876
DL, NW, 0.23882
DL, OH, 0.19664
DL, OO, 0.19039
DL, TZ, 0.11049
DL, UA, 0.13929
DL, US, 0.10541
DL, VX, 0.12499
DL, WN, 0.21212
DL, XE, 0.0494
EV, AA, 0.27524
EV, AS, -0.01316
EV, B6, 0.04888
EV, CO, 0.40452
EV, DH, 0.06179
EV, DL, 0.86053
EV, EV, 1.0
EV, F9, 0.13619
EV, FL, 0.83798
EV, HA, -0.02566
EV, HP, 0.03922
EV, MQ, 0.31507
EV, NK, 0.40499
EV, NW, 0.14614
EV, OH, 0.19146
EV, OO, 0.13524
EV, TZ, 0.26357
EV, UA, 0.27709
EV, US, 0.06187
EV, VX, 0.025
EV, WN, 0.26229
EV, XE, 0.38587
F9, AA, 0.18423
F9, AS, 0.10183
F9, B6, 0.07101
F9, CO, 0.11648
F9, DH, 0.0693
F9, DL, 0.17078
F9, EV, 0.13619
F9, F9, 1.0
F9, FL, 0.14991
F9, HA, -0.00658
F9, HP, 0.17299
F9, MQ, 0.10832
F9, NK, 0.33204
F9, NW, 0.10932
F9, OH, 0.05343
F9, OO, 0.54478
F9, TZ, 0.27006
F9, UA, 0.62071
F9, US, 0.10007
F9, VX, 0.10819
F9, WN, 0.33667
F9, XE, 0.05248
FL, AA, 0.19008
FL, AS, -0.00408
FL, B6, 0.15168
FL, CO, 0.10346
FL, DH, 0.07816
FL, DL, 0.92653
FL, EV, 0.83798
FL, F9, 0.14991
FL, FL, 1.0
FL, HA, -0.01383
FL, HP, 0.04628
FL, MQ, 0.11465
FL, NK, 0.33639
FL, NW, 0.06901
FL, OH, 0.07688
FL, OO, 0.02966
FL, TZ, 0.09172
FL, UA, 0.11573
FL, US, 0.15374
